path	current_status	action	reason	replacement_path	verification_command
mcp/	untracked runtime directory	move_to_development_record	Processing assets were extracted in Phase 1.5; remaining local Sheets Bridge MCP runtime is historical context.	development-record/retired-sheets-bridge/runtime/mcp/	rg -n "mcp/sheets_bridge|from sheets_bridge|import sheets_bridge|PYTHONPATH=mcp" scripts tests schemas docs references README.md SKILL.md AGENTS.md CLAUDE.md IMPLEMENTATION_MAP.html
mcp/sheets_bridge/excel_engine.py	untracked processing/runtime mixed file	rework	Real Excel validation behavior may be useful for processing and must be preserved or classified before mcp removal.	scripts/excel_engine_sample.py or neutral processing helper	python3 -m py_compile scripts/*.py
mcp/sheets_bridge/table_builder.py	untracked processing/runtime mixed file	rework	Contains Excel/spreadsheet result-table processing mixed with MCP/App host runtime concerns.	neutral table-builder processing module or scripts/tests	python3 -m unittest discover -s tests
mcp/sheets_bridge/table_flow.py	untracked processing/runtime mixed file	rework	May contain reusable table I/O processing behavior.	neutral table/dataflow processing module or scripts/tests	python3 -m unittest discover -s tests
mcp/sheets_bridge/contracts.py	untracked processing/runtime mixed file	rework	Split neutral table-build contracts from MCP/App host contracts.	schemas/ neutral processing contracts	python3 -c "import json, pathlib; [json.loads(path.read_text()) for path in sorted(pathlib.Path('schemas').glob('*.json'))]"
mcp/sheets_bridge/auth.py	untracked access runtime file	delete	Local OAuth authority belongs to Day1 MCP, not this repo.	none	test ! -e mcp
mcp/sheets_bridge/sheets_api.py	untracked access runtime file	delete	Direct Google Sheets API path belongs to Day1 MCP.	none	test ! -e mcp
mcp/sheets_bridge/mcp_server.py	untracked access runtime file	delete	Local MCP server runtime is out of active scope.	none	test ! -e mcp
mcp/sheets_bridge/http_server.py	untracked access runtime file	delete	Remote/local HTTP runtime is out of active scope.	none	test ! -e mcp
mcp/sheets_bridge/remote_auth.py	untracked access runtime file	delete	Remote auth belongs to Day1 MCP/host authority.	none	test ! -e mcp
mcp/sheets_bridge/chrome_resolver.py	untracked browser helper file	delete	Chrome selection/access helper is out of active scope.	none	test ! -e mcp
mcp/sheets_bridge/chatgpt_web_smoke.py	untracked host smoke file	move_to_development_record	ChatGPT web smoke is historical runtime evidence, not processing authority.	development-record/retired-sheets-bridge/	test ! -e mcp
mcp/sheets_bridge/test/	untracked mixed test directory	rework	Move only processing tests to tests/; host/runtime tests become records or deletion candidates.	tests/ or development-record/retired-sheets-bridge/	python3 -m unittest discover -s tests
packaging/sheets-bridge-mcp/	untracked packaging runtime directory	delete	MCP runtime packaging is out of active scope.	none	test ! -e packaging/sheets-bridge-mcp
broker/cloud-run-sheets-broker/	tracked/untracked broker runtime directory	move_to_development_record	Cloud Run broker runtime/history is out of active repo authority.	development-record/retired-sheets-bridge/runtime/cloud-run-sheets-broker/	test ! -e broker/cloud-run-sheets-broker
cli/sheets-bridge/	tracked deleted runtime directory	delete	Local CLI access runtime is out of active scope.	none	test ! -e cli/sheets-bridge
extension/chrome-sheets-bridge/	tracked deleted runtime directory	delete	Chrome extension runtime is out of active scope.	none	test ! -e extension/chrome-sheets-bridge
native-host/	tracked deleted runtime directory	delete	Native messaging host runtime is out of active scope.	none	test ! -e native-host
scripts/google_sheets_broker_client.py	untracked direct access script	delete	Direct broker invocation is out of active scope; processing scripts should consume artifacts.	none	rg -n "DEFAULT_BROKER_URL|gcloud auth print-identity-token|google_sheets_broker_client" scripts tests docs references schemas
scripts/google_sheets_bounded_window_sample.py	modified broker-backed processing script	rework	Convert from live broker execution to local Day1 MCP/evidence artifact input or move to records.	artifact-input processing script	python3 -m py_compile scripts/google_sheets_bounded_window_sample.py
scripts/google_sheets_validation_batch_execution.py	modified broker-backed processing script	rework	Convert from live broker execution to local Day1 MCP/evidence artifact input or move to records.	artifact-input processing script	python3 -m py_compile scripts/google_sheets_validation_batch_execution.py
schemas/table-build-intent.schema.json	untracked mixed contract	rework	Keep only if neutral result-table processing contract remains useful for Excel/spreadsheet processing.	neutral schema or development-record/retired-sheets-bridge/	python3 -c "import json; json.load(open('schemas/table-build-intent.schema.json'))"
schemas/table-build-plan.schema.json	untracked mixed contract	rework	Keep only if neutral result-table processing contract remains useful for Excel/spreadsheet processing.	neutral schema or development-record/retired-sheets-bridge/	python3 -c "import json; json.load(open('schemas/table-build-plan.schema.json'))"
schemas/table-builder-host-message.schema.json	untracked host contract	move_to_development_record	Host adapter contract is runtime history, not processing authority.	development-record/retired-sheets-bridge/	rg -n "table-builder-host-message" schemas tests docs
schemas/table-builder-session.schema.json	untracked host contract	move_to_development_record	Session/host runtime state is out of active scope.	development-record/retired-sheets-bridge/	rg -n "table-builder-session" schemas tests docs
tests/test_table_builder_contracts.py	untracked mixed test	rework	Keep only neutral processing contract assertions; move host/runtime checks to records.	tests/ neutral processing tests or development-record/retired-sheets-bridge/	python3 -m unittest tests/test_table_builder_contracts.py
tests/test_table_builder_host_adapter_js.py	untracked host adapter test	move_to_development_record	Host adapter JS behavior is runtime history.	development-record/retired-sheets-bridge/	rg -n "host_adapter|ui://sheets-bridge" tests docs schemas
docs/mcp-sheets-bridge-design.md	untracked retired access/runtime design	move_to_development_record	MCP/App host design is historical runtime context, not active processing authority.	development-record/retired-sheets-bridge/docs/	rg -n "mcp-sheets-bridge-design|mcp/sheets_bridge|ui://sheets-bridge" docs README.md SKILL.md AGENTS.md CLAUDE.md IMPLEMENTATION_MAP.html
docs/mcp-sheets-bridge-remote-auth-runbook.md	untracked retired access/runtime runbook	move_to_development_record	Remote MCP auth runbook is historical runtime context, not active processing authority.	development-record/retired-sheets-bridge/docs/	rg -n "mcp-sheets-bridge-remote-auth-runbook|PYTHONPATH=mcp|sheets_bridge_http_server" docs README.md SKILL.md AGENTS.md CLAUDE.md IMPLEMENTATION_MAP.html
docs/workload-identity-runtime-contract.md	untracked retired broker/runtime contract	move_to_development_record	Hosted broker authority contract is historical runtime context; Day1 MCP owns Google access.	development-record/retired-sheets-bridge/docs/	rg -n "workload-identity-runtime-contract|hosted Sheets broker|broker authority" docs README.md SKILL.md AGENTS.md CLAUDE.md IMPLEMENTATION_MAP.html
review-packages/sheets-bridge/	mixed review package folder	rework	Contains processing examples and retired runtime evidence; classify nested folders before move/delete.	review-packages/current processing examples plus development-record/retired-sheets-bridge/	find review-packages/sheets-bridge -maxdepth 2 -type d | sort
review-packages/sheets-bridge/live-inspections/	tracked/modified processing fixture folder	rework	Google Sheets fixture folders moved to neutral processing path; mixed historical package moved to development record.	review-packages/spreadsheet-processing/live-inspections/ and development-record/retired-sheets-bridge/review-packages/spreadsheet-processing/	python3 -m unittest tests/test_google_sheets_evidence_package.py
review-packages/sheets-bridge/workload-identity/	untracked retired runtime evidence	move_to_development_record	Workload identity broker evidence is historical runtime context.	development-record/retired-sheets-bridge/workload-identity/	test ! -e review-packages/sheets-bridge/workload-identity
review-packages/sheets-bridge/managed-deployment/	tracked deleted runtime deployment evidence	move_to_development_record	Managed Chrome/broker/native-host deployment evidence is historical runtime context; tracked deletions stay absent from active review packages.	development-record/retired-sheets-bridge/review-packages/sheets-bridge/managed-deployment/	test ! -e review-packages/sheets-bridge/managed-deployment
review-packages/sheets-bridge/mcp-live-apply-smoke/	untracked retired runtime evidence	move_to_development_record	MCP live apply smoke proves retired runtime behavior.	development-record/retired-sheets-bridge/mcp-live-apply-smoke/	test ! -e review-packages/sheets-bridge/mcp-live-apply-smoke
review-packages/sheets-bridge/mcp-live-real-sheet/	untracked retired/runtime mixed evidence	rework	Inspect for reusable processing evidence before moving runtime proof.	review-packages/current processing examples or development-record/retired-sheets-bridge/	find review-packages/sheets-bridge/mcp-live-real-sheet -type f | sort
review-packages/sheets-bridge/mcp-live-smoke/	untracked retired runtime evidence	move_to_development_record	MCP live smoke proves retired runtime behavior.	development-record/retired-sheets-bridge/mcp-live-smoke/	test ! -e review-packages/sheets-bridge/mcp-live-smoke
review-packages/sheets-bridge/keyless-extract/	untracked retired runtime evidence	move_to_development_record	Keyless extract/broker evidence is runtime history.	development-record/retired-sheets-bridge/keyless-extract/	test ! -e review-packages/sheets-bridge/keyless-extract
review-packages/sheets-bridge/table-io-flow-real-sheet/	untracked processing/runtime mixed evidence	move_to_development_record	Useful table I/O evidence is preserved, but package metadata and handoff artifacts are runtime-history coupled.	development-record/retired-sheets-bridge/review-packages/spreadsheet-processing/table-io-flow-real-sheet/	test ! -e review-packages/sheets-bridge/table-io-flow-real-sheet
review-packages/sheets-bridge/formula-dataflow/	untracked processing/runtime mixed evidence	move_to_development_record	Useful formula/dataflow evidence is preserved as historical record because the package embeds retired access-runtime evidence.	development-record/retired-sheets-bridge/review-packages/spreadsheet-processing/formula-dataflow/	test ! -e review-packages/sheets-bridge/formula-dataflow
review-packages/sheets-bridge/initial-understanding/	untracked processing/runtime mixed evidence	move_to_development_record	Useful initial-understanding evidence is preserved as historical record because the package embeds retired access-runtime evidence.	development-record/retired-sheets-bridge/review-packages/spreadsheet-processing/initial-understanding/	test ! -e review-packages/sheets-bridge/initial-understanding
review-packages/sheets-bridge/alt-design-implementation/	untracked processing evidence candidate	rework	Inspect whether this is processing refactor evidence or retired Sheets Bridge implementation evidence.	review-packages/current processing examples or development-record/retired-sheets-bridge/	find review-packages/sheets-bridge/alt-design-implementation -type f | sort
review-packages/spreadsheet-table-builder/	untracked mixed review package folder	move_to_development_record	Table-builder smoke packages embed retired MCP/App host handoff metadata; active processing contracts now live in schemas/tests and spreadsheet_processing/.	development-record/retired-sheets-bridge/review-packages/spreadsheet-table-builder/	test ! -e review-packages/spreadsheet-table-builder
review-packages/spreadsheet-table-builder/excel-real-smoke/	untracked processing/runtime mixed fixture folder	move_to_development_record	Excel formula-table outputs are preserved, but package metadata is runtime-history coupled.	development-record/retired-sheets-bridge/review-packages/spreadsheet-table-builder/excel-real-smoke/	python3 -m unittest tests/test_table_builder_contracts.py
review-packages/spreadsheet-table-builder/excel-desktop-smoke/	untracked processing/runtime mixed fixture folder	move_to_development_record	Excel desktop outputs are preserved, but package metadata is runtime-history coupled.	development-record/retired-sheets-bridge/review-packages/spreadsheet-table-builder/excel-desktop-smoke/	python3 -m unittest tests/test_table_builder_contracts.py
review-packages/spreadsheet-table-builder/chatgpt-web-smoke/	untracked host smoke folder	move_to_development_record	ChatGPT web/remote host smoke is runtime history.	development-record/retired-sheets-bridge/review-packages/spreadsheet-table-builder/chatgpt-web-smoke/	test ! -e review-packages/spreadsheet-table-builder/chatgpt-web-smoke
review-packages/spreadsheet-table-builder/ui-smoke/	untracked host smoke folder	move_to_development_record	UI host smoke is runtime history.	development-record/retired-sheets-bridge/review-packages/spreadsheet-table-builder/ui-smoke/	test ! -e review-packages/spreadsheet-table-builder/ui-smoke
review-packages/spreadsheet-table-builder/ui-preview/	untracked host preview folder	move_to_development_record	UI preview evidence is host runtime history.	development-record/retired-sheets-bridge/review-packages/spreadsheet-table-builder/ui-preview/	test ! -e review-packages/spreadsheet-table-builder/ui-preview
review-packages/workbook-understanding/	tracked/modified processing package folder	keep	Workbook understanding evidence supports current processing direction.	review-packages/workbook-understanding/	python3 -m unittest discover -s tests
projects/	untracked processing continuity folder	keep	Project continuity is explicitly protected.	projects/	find projects -maxdepth 2 -type f | sort
